Name,Default,Condition,Preference,Description
IncomeTaxExpenseBenefit,0,,"us-gaap:IncomeTaxExpenseBenefit|Duration,us-gaap:IncomeTaxExpenseBenefitContinuingOperations|Duration",
IncomeFromContinuingOperationsAfterTax,0,,us-gaap:IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple|Duration,
IncomeFromDiscontinuedOperations,0,,"us-gaap:IncomeLossFromDiscontinuedOperationsNetOfTax|Duration,us-gaap:DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax|Duration,us-gaap:IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity|Duration",
ExtraordaryItemsGainLoss,0,,us-gaap:ExtraordinaryItemNetOfTax|Duration,
NetIncomeLoss,0,,"us-gaap:ProfitLoss|Duration,us-gaap:NetIncomeLoss|Duration,us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic|Duration,us-gaap:IncomeLossFromContinuingOperations|Duration,us-gaap:IncomeLossAttributableToParent|Duration,us-gaap:IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest|Duration",
NetIncomeAvailableToCommonStockholdersBasic,0,,us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic|Duration,
PreferredStockDividendsAndOtherAdjustments,0,,us-gaap:PreferredStockDividendsAndOtherAdjustments|Duration,
NetIncomeAttributableToNoncontrollingInterest,0,,us-gaap:NetIncomeLossAttributableToNoncontrollingInterest|Duration,
NetIncomeAttributableToParent,0,,us-gaap:NetIncomeLoss|Duration,
OtherComprehensiveIncome,0,,us-gaap:OtherComprehensiveIncomeLossNetOfTax|Duration,
ComprehensiveIncome,0,,"us-gaap:ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest|Duration,us-gaap:ComprehensiveIncomeNetOfTax|Duration",
ComprehensiveIncomeAttributableToParent,0,,us-gaap:ComprehensiveIncomeNetOfTax|Duration,
ComprehensiveIncomeAttributableToNoncontrollingInterest,0,,us-gaap:ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest|Duration,
NonoperatingIncomeLossPlusInterestAndDebtExpense,0,,eval(NonoperatingIncomeLoss + InterestAndDebtExpense),
NetIncomeAvailableToCommonStockholdersBasic,0,not NetIncomeAvailableToCommonStockholdersBasic and not PreferredStockDividendsAndOtherAdjustments and NetIncomeAttributableToParent,NetIncomeAttributableToParent,
IncomeFromContinuingOperationsAfterTax,0,NetIncomeLoss and not IncomeFromContinuingOperationsAfterTax,eval(NetIncomeLoss - IncomeFromDiscontinuedOperations - ExtraordaryItemsGainLoss),
